periodo;ano;mes;internacoes_total;PM10;PM25;NO2;SO2;CO;O3
2024-01;2024;1;1480;17,05;4,22;14,51;5,79;484,71;25,81
2024-02;2024;2;1431;18,77;5,58;14,2;5,55;425,53;21,32
2024-03;2024;3;1837;19,11;5,79;14,93;5,37;413,58;29,12
2024-04;2024;4;2442;22,45;7,04;18,85;5,69;402,54;30,75
2024-05;2024;5;2413;22,77;6,19;18,31;6,47;376,07;30,11
2024-06;2024;6;2525;29,34;6,55;22,12;6,35;532,79;30,22
2024-07;2024;7;5233;24,53;7,39;21,49;8,14;440,58;35,49
2024-08;2024;8;2685;25,14;7,32;19,62;6,82;409,91;38,04
2024-09;2024;9;2926;29,03;8,22;17,17;6,48;444,45;39,57
2024-10;2024;10;2383;22,46;6,42;17,81;5,35;407,15;39,25
2024-11;2024;11;2152;18,19;5,01;15,68;5,88;346,23;21,96
2024-12;2024;12;1992;19,11;5,91;14,9;7,03;399,35;23,4
2025-01;2025;1;1782;15,16;5,51;14,1;6,21;387,92;28,45
2025-02;2025;2;1752;16,11;4,83;11,89;5,94;343,87;21,83
2025-03;2025;3;1775;16,49;4,28;16;4,54;369,99;22,77
2025-04;2025;4;2089;14,74;3,52;17,45;3,9;402,59;28,11
2025-05;2025;5;3198;17,84;4,1;20,03;4,53;511,95;24,84
2025-06;2025;6;2939;25,61;6,21;25,06;4,63;415,81;23,52
2025-07;2025;7;2698;25,72;6,08;24,58;5,39;604,91;35,25
2025-08;2025;8;2476;18,17;4,09;25,23;4,79;442,16;43,36
2025-09;2025;9;2926;16,66;4,06;23,27;5,98;342;42,47
2025-10;2025;10;2427;15,11;3,77;21,37;7,97;334,29;31,09
2025-11;2025;11;2235;34,42;7,18;16,21;6,66;321,49;23,51
2025-12;2025;12;2216;33,41;8,33;16,02;7,26;322,04;21,28
