cod_municipio;municipio;ano;mes;periodo;internacoes;;;;;;
320010;Afonso Claudio;2024;1;2024-01;19;;;;;;
320010;Afonso Claudio;2024;2;2024-02;16;;;;;;
320010;Afonso Claudio;2024;3;2024-03;11;;;;;;
320010;Afonso Claudio;2024;4;2024-04;29;;;;;;
320010;Afonso Claudio;2024;5;2024-05;25;;;;;;
320010;Afonso Claudio;2024;6;2024-06;25;;;;;;
320010;Afonso Claudio;2024;7;2024-07;24;;;;;;
320010;Afonso Claudio;2024;8;2024-08;21;;;;;;
320010;Afonso Claudio;2024;9;2024-09;26;;;;;;
320010;Afonso Claudio;2024;10;2024-10;16;;;;;;
320010;Afonso Claudio;2024;11;2024-11;23;;;;;;
320010;Afonso Claudio;2024;12;2024-12;12;;;;;;
320010;Afonso Claudio;2025;1;2025-01;11;;;;;;
320010;Afonso Claudio;2025;2;2025-02;7;;;;;;
320010;Afonso Claudio;2025;3;2025-03;21;;;;;;
320010;Afonso Claudio;2025;4;2025-04;22;;;;;;
320010;Afonso Claudio;2025;5;2025-05;38;;;;;;
320010;Afonso Claudio;2025;6;2025-06;37;;;;;;
320010;Afonso Claudio;2025;7;2025-07;24;;;;;;
320010;Afonso Claudio;2025;8;2025-08;34;;;;;;
320010;Afonso Claudio;2025;9;2025-09;26;;;;;;
320010;Afonso Claudio;2025;10;2025-10;20;;;;;;
320010;Afonso Claudio;2025;11;2025-11;19;;;;;;
320010;Afonso Claudio;2025;12;2025-12;18;;;;;;
320020;Alegre;2024;1;2024-01;2;;;;;;
320020;Alegre;2024;2;2024-02;4;;;;;;
320020;Alegre;2024;3;2024-03;2;;;;;;
320020;Alegre;2024;4;2024-04;2;;;;;;
320020;Alegre;2024;5;2024-05;3;;;;;;
320020;Alegre;2024;6;2024-06;10;;;;;;
320020;Alegre;2024;7;2024-07;8;;;;;;
320020;Alegre;2024;8;2024-08;9;;;;;;
320020;Alegre;2024;9;2024-09;15;;;;;;
320020;Alegre;2024;10;2024-10;8;;;;;;
320020;Alegre;2024;11;2024-11;7;;;;;;
320020;Alegre;2024;12;2024-12;1;;;;;;
320020;Alegre;2025;1;2025-01;5;;;;;;
320020;Alegre;2025;2;2025-02;6;;;;;;
320020;Alegre;2025;3;2025-03;4;;;;;;
320020;Alegre;2025;4;2025-04;7;;;;;;
320020;Alegre;2025;5;2025-05;11;;;;;;
320020;Alegre;2025;6;2025-06;12;;;;;;
320020;Alegre;2025;7;2025-07;10;;;;;;
320020;Alegre;2025;8;2025-08;11;;;;;;
320020;Alegre;2025;9;2025-09;15;;;;;;
320020;Alegre;2025;10;2025-10;8;;;;;;
320020;Alegre;2025;11;2025-11;10;;;;;;
320020;Alegre;2025;12;2025-12;13;;;;;;
320040;ANCHIETA;2024;1;2024-01;8;;;;;;
320040;ANCHIETA;2024;2;2024-02;2;;;;;;
320040;ANCHIETA;2024;3;2024-03;17;;;;;;
320040;ANCHIETA;2024;4;2024-04;11;;;;;;
320040;ANCHIETA;2024;5;2024-05;20;;;;;;
320040;ANCHIETA;2024;6;2024-06;16;;;;;;
320040;ANCHIETA;2024;7;2024-07;18;;;;;;
320040;ANCHIETA;2024;8;2024-08;13;;;;;;
320040;ANCHIETA;2024;9;2024-09;13;;;;;;
320040;ANCHIETA;2024;10;2024-10;10;;;;;;
320040;ANCHIETA;2024;11;2024-11;5;;;;;;
320040;ANCHIETA;2024;12;2024-12;7;;;;;;
320040;ANCHIETA;2025;1;2025-01;8;;;;;;
320040;ANCHIETA;2025;2;2025-02;4;;;;;;
320040;ANCHIETA;2025;3;2025-03;9;;;;;;
320040;ANCHIETA;2025;4;2025-04;16;;;;;;
320040;ANCHIETA;2025;5;2025-05;18;;;;;;
320040;ANCHIETA;2025;6;2025-06;11;;;;;;
320040;ANCHIETA;2025;7;2025-07;9;;;;;;
320040;ANCHIETA;2025;8;2025-08;15;;;;;;
320040;ANCHIETA;2025;9;2025-09;13;;;;;;
320040;ANCHIETA;2025;10;2025-10;24;;;;;;
320040;ANCHIETA;2025;11;2025-11;24;;;;;;
320040;ANCHIETA;2025;12;2025-12;22;;;;;;
320050;APIACA;2024;1;2024-01;-;;;;;;
320050;APIACA;2024;2;2024-02;-;;;;;;
320050;APIACA;2024;3;2024-03;-;;;;;;
320050;APIACA;2024;4;2024-04;-;;;;;;
320050;APIACA;2024;5;2024-05;-;;;;;;
320050;APIACA;2024;6;2024-06;-;;;;;;
320050;APIACA;2024;7;2024-07;-;;;;;;
320050;APIACA;2024;8;2024-08;-;;;;;;
320050;APIACA;2024;9;2024-09;-;;;;;;
